date,1101_Turnover,1101_Volume,1101_close,1101_eps,1101_high,1101_low,1101_open,1101_ups_and_downs,1101_ups_percent,2327_Turnover,2327_Volume,2327_close,2327_eps,2327_high,2327_low,2327_open,2327_ups_and_downs,2327_ups_percent,2352_Turnover,2352_Volume,2352_close,2352_eps,2352_high,2352_low,2352_open,2352_ups_and_downs,2352_ups_percent,2385_Turnover,2385_Volume,2385_close,2385_eps,2385_high,2385_low,2385_open,2385_ups_and_downs,2385_ups_percent,2449_Turnover,2449_Volume,2449_close,2449_eps,2449_high,2449_low,2449_open,2449_ups_and_downs,2449_ups_percent,2915_Turnover,2915_Volume,2915_close,2915_eps,2915_high,2915_low,2915_open,2915_ups_and_downs,2915_ups_percent,3005_Turnover,3005_Volume,3005_close,3005_eps,3005_high,3005_low,3005_open,3005_ups_and_downs,3005_ups_percent,3532_Turnover,3532_Volume,3532_close,3532_eps,3532_high,3532_low,3532_open,3532_ups_and_downs,3532_ups_percent,6176_Turnover,6176_Volume,6176_close,6176_eps,6176_high,6176_low,6176_open,6176_ups_and_downs,6176_ups_percent,9945_Turnover,9945_Volume,9945_close,9945_eps,9945_high,9945_low,9945_open,9945_ups_and_downs,9945_ups_percent,0056_close_y
6815,93134.0,2589.0,35.75,26.68,36.2,35.75,35.8,0.1,0.28,18331.0,281.0,65.3,9.07,65.5,65.0,65.4,0.2,0.31,59348.0,4462.0,13.2,12.11,13.4,13.2,13.35,-0.1,-0.75,93875.0,1179.0,79.4,14.87,79.9,79.2,79.4,0.1,0.13,349608.0,12252.0,28.55,13.53,28.65,28.4,28.4,0.7,2.51,167094.0,3265.0,51.5,6.41,52.0,50.2,50.6,1.1,2.18,376075.0,10052.0,37.8,16.65,38.0,36.75,37.25,1.3,3.56,4997.0,150.0,33.15,27.63,33.85,33.05,33.6,-0.35,-1.04,125482.0,2438.0,51.8,6.58,51.9,51.0,51.3,0.9,1.77,146528.0,3785.0,38.8,6.99,39.0,38.2,38.25,0.65,1.7,319.6231357048753
6816,237082.0,6605.0,35.95,26.83,36.2,35.65,36.2,0.2,0.56,12860.0,199.0,64.6,8.97,65.3,64.3,65.3,-0.7,-1.07,58405.0,4432.0,13.2,12.11,13.3,13.1,13.25,0.0,0.0,93803.0,1180.0,79.5,14.89,79.8,79.0,79.7,0.1,0.13,233226.0,8149.0,28.7,13.6,28.75,28.45,,0.15,0.53,233882.0,4670.0,49.95,6.21,50.7,49.85,50.6,-1.55,-3.01,179778.0,4806.0,37.5,16.52,37.8,37.15,37.8,-0.3,-0.79,4564.0,137.0,33.5,27.92,33.6,33.0,33.15,0.35,1.06,143838.0,2767.0,51.9,6.59,52.3,51.8,52.1,0.1,0.19,275480.0,7236.0,37.7,6.79,38.6,37.6,38.6,-1.1,-2.84,320.41633728590307
6817,147950.0,4092.0,36.4,27.16,36.4,35.6,35.6,0.45,1.25,4631.0,72.0,64.6,8.97,64.9,64.4,64.6,0.0,0.0,70608.0,5315.0,13.4,12.29,13.4,13.15,13.2,0.2,1.52,42733.0,539.0,79.3,14.85,79.5,79.2,79.4,-0.2,-0.25,210484.0,7294.0,28.9,13.7,28.95,28.55,28.8,0.2,0.7,200616.0,4118.0,48.85,6.08,49.2,48.35,48.75,-1.1,-2.2,137718.0,3681.0,37.3,16.43,38.0,37.05,38.0,-0.2,-0.53,4026.0,121.0,33.1,27.58,33.5,33.05,33.5,-0.4,-1.19,89164.0,1729.0,51.6,6.56,51.9,51.4,51.9,-0.3,-0.58,240982.0,6526.0,37.25,6.71,37.3,36.7,36.8,-0.45,-1.19,320.41633728590307
6818,95754.0,2627.0,36.6,27.31,36.65,36.05,36.4,0.2,0.55,7098.0,110.0,64.2,8.92,64.8,64.1,64.8,-0.4,-0.62,49982.0,3736.0,13.35,12.25,13.5,13.3,13.45,-0.05,-0.37,65636.0,827.0,79.3,14.85,79.6,79.2,79.3,0.0,0.0,186964.0,6462.0,28.9,13.7,29.0,28.85,29.0,0.0,0.0,105896.0,2174.0,48.6,6.04,49.2,48.45,49.1,-0.25,-0.51,238124.0,6296.0,37.7,16.61,38.4,37.4,38.0,0.4,1.07,3282.0,99.0,33.1,27.58,33.35,33.05,33.1,0.0,0.0,362498.0,7161.0,50.6,6.43,51.2,50.3,51.2,-1.0,-1.94,94300.0,2540.0,37.05,6.68,37.5,37.0,37.35,-0.2,-0.54,319.3589459815551
6819,145875.0,3990.0,36.65,27.35,36.7,36.35,36.6,0.05,0.14,6974.0,109.0,64.2,8.92,64.8,63.9,64.8,0.0,0.0,67639.0,5133.0,13.15,12.06,13.35,13.1,13.35,-0.2,-1.5,97486.0,1233.0,79.0,14.79,80.0,78.5,79.0,-0.3,-0.38,154192.0,5355.0,28.6,13.55,29.1,28.5,29.05,-0.3,-1.04,106702.0,2176.0,49.25,6.13,49.3,48.65,48.7,0.65,1.34,232251.0,6113.0,38.05,16.76,38.35,37.5,38.0,0.35,0.93,3754.0,113.0,32.9,27.42,33.45,32.9,33.2,-0.2,-0.6,421147.0,8471.0,49.1,6.24,50.7,49.05,50.6,-1.5,-2.96,105420.0,2829.0,37.4,6.74,37.45,37.0,37.05,0.35,0.94,314.62155467720726
6823,139724.0,3855.0,36.05,26.9,36.85,35.8,36.85,-0.6,-1.64,27415.0,436.0,62.4,8.67,64.0,62.3,63.6,-1.8,-2.8,179754.0,14201.0,12.6,11.56,13.2,12.2,13.2,-0.55,-4.18,109377.0,1379.0,78.7,14.74,79.9,78.4,79.9,-0.3,-0.38,124591.0,4399.0,28.35,13.44,28.85,28.05,28.7,-0.25,-0.87,133822.0,2747.0,48.45,6.03,49.8,48.1,49.8,-0.8,-1.62,353386.0,9298.0,38.5,16.96,38.55,37.25,38.55,0.45,1.18,5706.0,177.0,31.9,26.58,33.25,31.9,32.95,-1.0,-3.04,497981.0,10679.0,46.0,5.84,49.5,45.0,49.15,-3.1,-6.31,116971.0,3145.0,37.15,6.69,37.7,36.85,37.65,-0.25,-0.67,316.9859815546776
6824,139396.0,3842.0,36.05,26.9,36.8,35.85,35.9,0.0,0.0,19322.0,309.0,63.0,8.75,63.0,62.2,62.5,0.6,0.96,77260.0,6048.0,12.7,11.65,12.9,12.6,12.8,0.1,0.79,72673.0,912.0,79.7,14.93,80.0,79.0,79.0,1.0,1.27,125051.0,4436.0,28.2,13.36,28.45,27.95,28.35,-0.15,-0.53,124999.0,2590.0,48.7,6.06,48.85,48.0,48.15,0.25,0.52,352764.0,8987.0,40.45,17.82,40.45,38.0,38.35,1.95,5.06,2568.0,80.0,32.2,26.83,32.3,31.7,32.0,0.3,0.94,231100.0,4970.0,47.05,5.98,47.2,45.45,45.7,1.05,2.28,106832.0,2886.0,37.25,6.71,37.35,36.75,37.0,0.1,0.27,314.35936758893325
6825,322056.0,9133.0,35.0,26.12,36.05,35.0,36.05,-1.05,-2.91,16894.0,271.0,62.5,8.68,63.0,61.7,62.9,-0.5,-0.79,45719.0,3586.0,12.75,11.7,12.85,12.7,12.8,0.05,0.39,58884.0,738.0,79.9,14.96,80.2,79.2,79.4,0.2,0.25,119448.0,4247.0,28.05,13.29,28.45,28.0,28.3,-0.15,-0.53,125691.0,2572.0,49.15,6.11,49.15,48.45,48.55,0.45,0.92,306990.0,7660.0,39.75,17.51,40.9,39.6,40.45,-0.7,-1.73,3153.0,99.0,31.95,26.63,32.3,31.7,32.3,-0.25,-0.78,116679.0,2497.0,46.5,5.91,47.2,46.4,47.15,-0.55,-1.17,101583.0,2744.0,36.95,6.66,37.5,36.8,37.25,-0.3,-0.81,308.8777865612653
6826,146797.0,4112.0,35.85,26.75,35.9,35.1,35.1,0.85,2.43,9112.0,147.0,62.0,8.61,62.5,61.8,62.5,-0.5,-0.8,66579.0,5262.0,12.6,11.56,12.8,12.5,12.8,-0.15,-1.18,41022.0,519.0,78.6,14.72,79.8,78.6,79.6,-1.3,-1.63,204776.0,7424.0,27.4,12.99,28.0,27.4,27.95,-0.65,-2.32,150227.0,3118.0,48.0,5.97,49.05,47.6,49.0,-1.15,-2.34,429708.0,11374.0,37.5,16.52,40.0,36.7,39.35,-2.25,-5.66,2622.0,83.0,31.7,26.42,31.95,31.65,31.95,-0.25,-0.78,162523.0,3532.0,45.65,5.8,46.8,45.6,46.5,-0.85,-1.83,152695.0,4165.0,36.65,6.6,37.1,36.4,36.85,-0.3,-0.81,309.6580237154156
6829,146280.0,4103.0,36.05,26.9,36.1,35.15,36.05,0.2,0.56,11292.0,182.0,62.0,8.61,62.6,61.8,61.8,0.0,0.0,60632.0,4748.0,12.85,11.79,12.9,12.55,12.65,0.25,1.98,47510.0,601.0,79.6,14.91,79.7,78.1,78.6,1.0,1.27,125582.0,4572.0,27.7,13.13,27.8,27.2,27.3,0.3,1.09,157273.0,3330.0,47.85,5.95,48.0,46.35,47.85,-0.15,-0.31,453135.0,11558.0,40.5,17.84,40.5,37.05,38.0,3.0,8.0,1833.0,58.0,31.7,26.42,32.0,31.15,31.15,0.0,0.0,139513.0,3046.0,45.8,5.82,46.1,45.45,45.5,0.15,0.33,121648.0,3374.0,36.25,6.53,36.5,35.8,36.5,-0.4,-1.09,312.78845849802417
6830,191382.0,5284.0,36.4,27.16,36.45,35.75,35.85,0.35,0.97,8063.0,130.0,62.0,8.61,62.4,61.7,62.0,0.0,0.0,30048.0,2337.0,12.9,11.83,12.9,12.8,12.85,0.05,0.39,85163.0,1066.0,80.1,15.0,80.1,79.4,79.5,0.5,0.63,117758.0,4246.0,27.95,13.25,27.95,27.35,27.7,0.25,0.9,104319.0,2154.0,48.75,6.06,49.05,47.8,47.85,0.9,1.88,683043.0,16684.0,39.45,17.38,42.4,39.2,41.0,-1.05,-2.59,4956.0,153.0,32.8,27.33,32.8,31.7,31.9,1.1,3.47,107007.0,2347.0,45.75,5.81,45.8,45.2,45.6,-0.05,-0.11,100049.0,2734.0,36.85,6.64,36.85,35.85,35.85,0.6,1.66,316.4598155467725
6831,411725.0,11072.0,37.35,27.87,37.35,36.4,36.4,0.95,2.61,5048.0,81.0,62.3,8.65,62.6,62.1,62.1,0.3,0.48,57588.0,4441.0,12.9,11.83,13.1,12.8,12.95,0.0,0.0,47884.0,596.0,80.2,15.02,80.6,79.7,80.1,0.1,0.12,117766.0,4214.0,27.95,13.25,28.1,27.8,28.0,0.0,0.0,210012.0,4243.0,49.3,6.13,49.95,48.6,48.6,0.55,1.13,276198.0,6952.0,39.8,17.53,40.4,39.4,39.7,0.35,0.89,4168.0,128.0,32.6,27.17,32.8,32.4,32.8,-0.2,-0.61,193708.0,4228.0,45.55,5.79,46.25,45.55,45.85,-0.2,-0.44,94630.0,2569.0,36.8,6.63,37.05,36.6,36.9,-0.05,-0.14,318.0395783926224
6832,253843.0,6837.0,36.9,27.54,37.5,36.6,37.35,-0.45,-1.2,15938.0,252.0,63.2,8.78,63.7,62.0,62.3,0.9,1.44,49073.0,3788.0,13.0,11.93,13.05,12.8,12.9,0.1,0.78,66018.0,822.0,80.1,15.0,80.5,79.9,80.2,-0.1,-0.12,83819.0,2977.0,28.15,13.34,28.35,27.9,28.0,0.2,0.72,272864.0,5492.0,49.1,6.11,50.5,48.95,49.5,-0.2,-0.41,426536.0,10336.0,41.0,18.06,42.2,39.85,40.1,1.2,3.02,5684.0,174.0,32.7,27.25,32.85,32.4,32.8,0.1,0.31,276807.0,5901.0,47.5,6.04,47.7,45.8,45.8,1.95,4.28,134039.0,3635.0,36.65,6.6,37.05,36.6,36.9,-0.15,-0.41,317.7760210803693
6833,257993.0,7010.0,36.7,27.39,37.1,36.7,37.0,-0.2,-0.54,27197.0,424.0,65.9,9.15,65.9,62.7,63.1,2.7,4.27,81440.0,6223.0,13.05,11.97,13.2,13.0,13.0,0.05,0.38,80394.0,1021.0,78.8,14.76,79.9,78.0,79.5,-1.3,-1.62,403793.0,14207.0,28.4,13.46,28.6,28.15,28.2,0.25,0.89,351162.0,7228.0,48.65,6.05,49.5,48.0,49.1,-0.45,-0.92,468057.0,11194.0,42.15,18.57,42.75,40.7,41.5,1.15,2.8,3859.0,119.0,32.45,27.04,32.75,32.1,32.7,-0.25,-0.76,369913.0,7639.0,48.65,6.18,48.9,48.0,48.0,1.15,2.42,115196.0,3160.0,36.45,6.57,36.7,36.35,36.65,-0.2,-0.55,320.15183135704916
6836,159860.0,4324.0,37.0,27.61,37.15,36.75,36.75,0.3,0.82,20953.0,326.0,64.1,8.9,64.7,63.9,64.5,-1.8,-2.73,50320.0,3833.0,13.15,12.06,13.2,13.05,13.15,0.1,0.77,103636.0,1292.0,80.7,15.11,81.2,78.9,79.0,1.9,2.41,144083.0,5085.0,28.35,13.44,28.5,28.2,28.4,-0.05,-0.18,128244.0,2614.0,49.05,6.1,49.4,48.65,48.9,0.4,0.82,270856.0,6439.0,42.2,18.59,42.7,41.4,42.15,0.05,0.12,1143.0,35.0,32.6,27.17,32.75,32.5,32.5,0.15,0.46,178098.0,3648.0,48.65,6.18,49.4,48.35,49.0,0.0,0.0,75436.0,2059.0,36.6,6.59,36.9,36.3,36.4,0.15,0.41,327.06324110671983
6837,326409.0,8677.0,37.45,27.95,37.8,37.2,37.5,0.45,1.22,17568.0,275.0,63.8,8.86,64.2,63.7,64.1,-0.3,-0.47,46729.0,3549.0,13.2,12.11,13.25,13.1,13.1,0.05,0.38,103321.0,1278.0,81.0,15.17,81.3,80.0,81.2,0.3,0.37,162837.0,5736.0,28.5,13.51,28.55,28.1,28.35,0.15,0.53,192917.0,3870.0,50.1,6.23,50.4,49.05,49.4,1.05,2.14,161246.0,3851.0,42.15,18.57,42.25,41.4,42.2,-0.05,-0.12,1852.0,57.0,32.55,27.13,32.6,32.4,32.6,-0.05,-0.15,182894.0,3728.0,49.0,6.23,49.4,48.75,49.15,0.35,0.72,71977.0,1957.0,36.8,6.63,36.95,36.5,36.6,0.2,0.55,286.6635573122533
6838,174658.0,4659.0,37.55,28.02,37.8,36.95,36.95,0.1,0.27,7300.0,114.0,63.8,8.86,64.0,63.7,63.7,0.0,0.0,39332.0,2990.0,13.2,12.11,13.2,13.1,13.15,0.0,,102331.0,1286.0,79.0,14.79,80.8,79.0,80.8,-2.0,,135078.0,,28.0,13.27,28.5,28.0,28.25,-0.5,-1.75,149551.0,3006.0,,6.21,,49.25,50.0,-0.2,-0.4,179907.0,4253.0,42.0,18.5,42.85,41.85,42.3,-0.15,-0.36,3795.0,118.0,32.35,26.96,32.55,31.95,32.55,-0.2,-0.61,229475.0,4638.0,49.5,6.29,50.0,48.9,48.9,0.5,,73079.0,,36.45,6.57,36.9,36.35,36.7,-0.35,-0.95,285.6613965744404
6839,172885.0,4636.0,37.55,28.02,37.55,37.05,37.35,0.0,0.0,19784.0,313.0,63.5,8.82,64.0,62.6,63.9,-0.3,-0.47,196499.0,14569.0,13.45,12.34,13.7,13.2,13.2,0.25,1.89,84737.0,1084.0,78.0,14.61,78.9,77.5,78.5,-1.0,-1.27,215365.0,7647.0,28.0,13.27,28.5,28.0,28.4,0.0,0.0,75519.0,1526.0,49.45,6.15,49.85,49.3,49.75,-0.45,-0.9,116467.0,2802.0,41.4,18.24,42.25,41.2,42.2,-0.6,-1.43,3289.0,102.0,32.2,26.83,32.65,32.0,32.35,-0.15,-0.46,182554.0,3699.0,49.3,6.26,49.85,49.05,49.45,-0.2,-0.4,55429.0,1525.0,36.35,6.55,36.5,36.25,36.4,-0.1,-0.27,285.6613965744404
